account_crm_id,company_name,website_domain,industry,employee_count,plan_type,created_at
ACC-1029,Skyline Digital,skylinedigital.com,Retail,40,Free,2024-07-25 17:15:35
ACC-1030,NorthPeak Software,northpeaksoftware.com,Retail,10,Free,2025-07-23 18:53:48
ACC-1031,BlueRiver Software,blueriversoftware.com,SaaS,120,Free,2024-06-14 02:00:40
ACC-1032,Nova Dynamics,novadynamics.com,Marketing,40,Growth,2025-09-24 08:13:39
ACC-1033,Redwood Software,redwoodsoftware.com,Marketing,250,Starter,2025-12-23 03:56:39
ACC-1034,BrightPath Cloud,brightpathcloud.com,Manufacturing,250,Growth,2025-01-22 22:09:48
ACC-1035,BlueRiver Networks,bluerivernetworks.com,Logistics,15,Starter,2025-11-09 08:27:47
ACC-1036,ClearBridge Digital,clearbridgedigital.com,Manufacturing,25,Starter,2024-08-09 14:45:55
ACC-1037,Nova Systems,novasystems.com,Cybersecurity,15,Free,2025-04-01 22:08:01
ACC-1038,CloudForge Software,cloudforgesoftware.com,Manufacturing,500,Growth,2024-08-29 21:50:30
ACC-1039,Greenfield Labs,greenfieldlabs.com,Manufacturing,10,Enterprise,2024-08-28 14:38:11
ACC-1040,Ironwood Digital,ironwooddigital.com,Manufacturing,1000,Pro,2024-11-30 07:00:32
ACC-1041,Redwood Works,redwoodworks.com,Education,40,Enterprise,2024-09-17 05:31:51
ACC-1042,PrimeWave Labs,primewavelabs.com,Logistics,10,Free,2025-11-24 16:51:11
ACC-1043,Redwood Logic,redwoodlogic.com,Cybersecurity,15,Enterprise,2024-06-05 21:53:24
ACC-1044,Nova Networks,novanetworks.com,E-commerce,40,Pro,2024-07-24 20:25:35
ACC-1045,BlueRiver Systems,blueriversystems.com,E-commerce,1000,Growth,2025-03-14 08:29:48
ACC-1046,Ironwood Partners,ironwoodpartners.com,Logistics,40,Starter,2025-09-24 22:10:30
ACC-1047,Summit Solutions,summitsolutions.com,Logistics,15,Free,2025-04-12 20:51:42
ACC-1048,PrimeWave Partners,primewavepartners.com,Education,25,Enterprise,2025-05-20 15:57:08
ACC-1049,Velocity Digital,velocitydigital.com,Cybersecurity,75,Pro,2026-01-30 07:42:37
ACC-1050,PrimeWave Solutions,primewavesolutions.com,Fintech,25,Starter,2026-04-16 10:46:10
ACC-1051,BrightPath Works,brightpathworks.com,Education,40,Pro,2024-11-20 06:31:00
ACC-1052,ClearBridge Dynamics,clearbridgedynamics.com,Marketing,75,Enterprise,2025-05-20 07:05:08
ACC-1053,Vertex Dynamics,vertexdynamics.com,SaaS,120,Pro,2024-05-26 23:24:53
ACC-1054,Skyline Cloud,skylinecloud.com,SaaS,15,Free,2025-07-02 09:38:23
ACC-1055,Summit Labs,summitlabs.com,Logistics,1000,Starter,2026-01-30 23:33:24
ACC-1056,SilverLine Data,silverlinedata.com,SaaS,120,Starter,2026-03-21 23:48:27
ACC-1057,CedarPoint Cloud,cedarpointcloud.com,Healthcare,40,Enterprise,2025-08-17 19:32:49
ACC-1058,Velocity Cloud,velocitycloud.com,Healthcare,120,Pro,2024-05-11 23:37:45
ACC-1059,Vertex Software,vertexsoftware.com,Healthcare,15,Growth,2024-11-15 23:11:49
ACC-1060,BlueRiver Technologies,bluerivertechnologies.com,Retail,500,Growth,2024-10-12 12:02:35
ACC-1061,Nova Software,novasoftware.com,Retail,250,Growth,2024-05-11 02:42:54
ACC-1062,CloudForge Dynamics,cloudforgedynamics.com,Cybersecurity,250,Pro,2025-01-20 11:24:58
ACC-1063,PrimeWave Ops,primewaveops.com,SaaS,15,Enterprise,2026-04-22 06:13:38
ACC-1064,Ironwood Labs,ironwoodlabs.com,E-commerce,250,Growth,2024-07-15 22:20:52
ACC-1065,Everstone Cloud,everstonecloud.com,Cybersecurity,15,Growth,2025-08-06 14:07:48
ACC-1066,BlueRiver Cloud,bluerivercloud.com,Cybersecurity,1000,Pro,2024-04-24 01:06:20
ACC-1067,ClearBridge Data,clearbridgedata.com,Fintech,120,Pro,2025-03-23 17:32:39
ACC-1068,BrightPath Solutions,brightpathsolutions.com,Education,250,Growth,2025-05-21 15:01:36
ACC-1069,SilverLine Works,silverlineworks.com,Manufacturing,250,Pro,2024-09-18 17:44:11
ACC-1070,Velocity Solutions,velocitysolutions.com,Cybersecurity,10,Growth,2025-03-04 03:22:04
ACC-1071,ClearBridge Cloud,clearbridgecloud.com,E-commerce,120,Growth,2025-12-24 01:11:03
ACC-1072,Skyline Partners,skylinepartners.com,Marketing,25,Pro,2025-05-24 18:33:07
ACC-1073,SilverLine Ops,silverlineops.com,Retail,75,Starter,2024-07-04 06:26:29
ACC-1074,ClearBridge Works,clearbridgeworks.com,SaaS,40,Enterprise,2024-05-11 16:54:01
ACC-1075,CloudForge Digital,cloudforgedigital.com,E-commerce,40,Pro,2025-03-10 15:19:06
ACC-1076,Greenfield Technologies,greenfieldtechnologies.com,Retail,25,Pro,2025-02-27 03:38:50
ACC-1077,NorthPeak Analytics,northpeakanalytics.com,Manufacturing,40,Starter,2025-12-18 08:23:10
ACC-1078,Apex Digital,apexdigital.com,Cybersecurity,40,Enterprise,2024-05-31 17:42:59
ACC-1079,BrightPath Digital,brightpathdigital.com,Marketing,1000,Enterprise,2024-08-04 07:11:56
ACC-1080,Everstone Digital,everstonedigital.com,Cybersecurity,250,Enterprise,2025-08-11 14:14:42
ACC-1081,PrimeWave Digital,primewavedigital.com,Healthcare,500,Growth,2026-03-20 14:44:57
ACC-1082,Apex Technologies,apextechnologies.com,Retail,75,Growth,2025-08-22 13:00:56
ACC-1083,SilverLine Software,silverlinesoftware.com,Logistics,120,Enterprise,2024-11-19 18:42:53
ACC-1084,CloudForge Works,cloudforgeworks.com,Retail,250,Pro,2024-08-17 21:15:55
ACC-1085,ClearBridge Systems,clearbridgesystems.com,Manufacturing,120,Growth,2025-03-10 23:16:34
ACC-1086,Vertex Labs,vertexlabs.com,Manufacturing,250,Enterprise,2024-09-30 09:15:01
ACC-1087,NorthPeak Networks,northpeaknetworks.com,SaaS,120,Growth,2025-04-28 05:07:29
ACC-1088,Greenfield Cloud,greenfieldcloud.com,Cybersecurity,40,Growth,2025-06-14 18:44:11
ACC-1089,Ironwood Cloud,ironwoodcloud.com,SaaS,250,Growth,2025-05-04 22:36:03
ACC-1090,Greenfield Logic,greenfieldlogic.com,Marketing,25,Enterprise,2026-02-04 13:44:21
ACC-1091,Greenfield Health,greenfieldhealth.com,Manufacturing,25,Enterprise,2024-06-26 22:28:19
ACC-1092,Velocity Labs,velocitylabs.com,Manufacturing,120,Starter,2024-11-10 19:14:35
ACC-1093,Everstone Ops,everstoneops.com,Manufacturing,75,Pro,2025-12-04 23:55:41
ACC-1094,CloudForge Technologies,cloudforgetechnologies.com,Cybersecurity,10,Enterprise,2024-05-07 18:54:31
ACC-1095,CedarPoint Software,cedarpointsoftware.com,Fintech,10,Pro,2025-09-09 17:08:32
ACC-1096,Nova Partners,novapartners.com,SaaS,25,Starter,2026-02-03 13:56:15
ACC-1097,Redwood Analytics,redwoodanalytics.com,Retail,500,Pro,2025-07-04 18:43:58
ACC-1098,BrightPath Logic,brightpathlogic.com,Fintech,10,Enterprise,2024-12-20 07:45:49
ACC-1099,SilverLine Analytics,silverlineanalytics.com,E-commerce,10,Growth,2026-01-01 04:19:44
ACC-1100,Vertex Data,vertexdata.com,Cybersecurity,120,Free,2024-06-15 07:01:29
ACC-1101,Vertex Technologies,vertextechnologies.com,Manufacturing,120,Pro,2024-07-13 16:57:54
ACC-1102,Vertex Logic,vertexlogic.com,Cybersecurity,75,Pro,2025-11-13 16:30:50
ACC-1103,PrimeWave Technologies,primewavetechnologies.com,Manufacturing,75,Growth,2025-04-18 19:27:11
ACC-1104,Nova Digital,novadigital.com,E-commerce,250,Growth,2025-07-09 08:20:43
ACC-1105,Redwood Ops,redwoodops.com,Marketing,40,Growth,2024-09-10 23:19:07
ACC-1106,Ironwood Ops,ironwoodops.com,E-commerce,75,Growth,2024-11-25 22:47:24
ACC-1107,PrimeWave Software,primewavesoftware.com,Marketing,500,Growth,2025-10-11 03:28:09
ACC-1108,NorthPeak Systems,northpeaksystems.com,Retail,250,Pro,2024-12-07 06:31:36
ACC-1109,Redwood Data,redwooddata.com,Cybersecurity,120,Growth,2025-03-19 05:32:38
ACC-1110,Skyline Dynamics,skylinedynamics.com,Education,40,Starter,2024-12-16 21:26:41
ACC-1111,ClearBridge Partners,clearbridgepartners.com,Marketing,75,Pro,2025-11-17 10:10:00
ACC-1112,Apex Solutions,apexsolutions.com,Retail,75,Starter,2024-07-09 19:31:13
ACC-1113,NorthPeak Works,northpeakworks.com,SaaS,10,Growth,2024-11-21 19:06:42
ACC-1114,Summit Technologies,summittechnologies.com,SaaS,75,Growth,2024-07-11 09:57:01
ACC-1115,Skyline Ops,skylineops.com,SaaS,75,Enterprise,2024-09-12 22:21:57
ACC-1116,CloudForge Networks,cloudforgenetworks.com,Fintech,10,Starter,2025-05-09 16:23:54
ACC-1117,SilverLine Systems,silverlinesystems.com,Fintech,1000,Pro,2024-11-01 12:11:34
ACC-1118,SilverLine Cloud,silverlinecloud.com,E-commerce,10,Pro,2024-12-15 22:16:42
ACC-1119,BrightPath Partners,brightpathpartners.com,Retail,75,Pro,2025-08-21 14:01:24
ACC-1120,Velocity Software,velocitysoftware.com,Cybersecurity,15,Starter,2024-09-04 17:41:50
ACC-1121,Vertex Digital,vertexdigital.com,E-commerce,500,Growth,2025-10-10 04:23:14
ACC-1122,Nova Solutions,novasolutions.com,Education,500,Free,2025-10-23 20:11:23
ACC-1123,BrightPath Software,brightpathsoftware.com,Healthcare,75,Enterprise,2025-09-07 18:21:51
ACC-1124,SilverLine Digital,silverlinedigital.com,Marketing,75,Pro,2024-07-28 07:41:53
ACC-1125,Ironwood Technologies,ironwoodtechnologies.com,Fintech,10,Enterprise,2025-03-28 17:59:41
ACC-1126,Everstone Dynamics,everstonedynamics.com,Fintech,40,Enterprise,2024-05-12 19:44:04
ACC-1127,NorthPeak Dynamics,northpeakdynamics.com,SaaS,25,Growth,2025-07-14 07:36:01
ACC-1128,Redwood Systems,redwoodsystems.com,Logistics,250,Growth,2025-04-22 19:12:24
ACC-1129,Redwood Solutions,redwoodsolutions.com,Manufacturing,1000,Free,2025-09-19 09:01:49
ACC-1130,CloudForge Ops,cloudforgeops.com,Logistics,15,Enterprise,2024-11-04 18:38:01
ACC-1131,Redwood Digital,redwooddigital.com,SaaS,40,Starter,2025-12-04 00:49:42
ACC-1132,Skyline Technologies,skylinetechnologies.com,SaaS,40,Pro,2024-07-26 01:07:27
ACC-1133,SilverLine Health,silverlinehealth.com,Manufacturing,15,Starter,2025-06-25 16:17:25
ACC-1134,Apex Dynamics,apexdynamics.com,Marketing,500,Starter,2025-03-11 10:52:45
ACC-1135,Greenfield Partners,greenfieldpartners.com,E-commerce,1000,Pro,2026-04-08 18:26:45
ACC-1136,Summit Systems,summitsystems.com,Manufacturing,120,Enterprise,2024-11-23 07:12:10
ACC-1137,NorthPeak Solutions,northpeaksolutions.com,Education,500,Enterprise,2025-11-07 16:08:57
ACC-1138,CedarPoint Ops,cedarpointops.com,Cybersecurity,250,Growth,2025-06-25 10:03:51
ACC-1139,Nova Cloud,novacloud.com,Logistics,500,Pro,2024-05-26 15:13:21
ACC-1140,BlueRiver Works,blueriverworks.com,E-commerce,120,Enterprise,2025-05-17 20:57:49
ACC-1141,Skyline Analytics,skylineanalytics.com,Marketing,10,Pro,2025-06-05 06:01:00
ACC-1142,Vertex Works,vertexworks.com,Marketing,75,Growth,2024-06-19 20:28:39
ACC-1143,Everstone Networks,everstonenetworks.com,Marketing,1000,Free,2024-12-24 16:34:11
ACC-1144,CloudForge Cloud,cloudforgecloud.com,Fintech,500,Starter,2024-07-08 04:41:27
ACC-1145,BlueRiver Solutions,blueriversolutions.com,Logistics,250,Starter,2025-01-26 03:49:08
ACC-1146,Velocity Logic,velocitylogic.com,Fintech,250,Pro,2024-09-05 17:06:26
ACC-1147,Nova Technologies,novatechnologies.com,E-commerce,25,Starter,2026-04-01 17:56:39
ACC-1148,Ironwood Health,ironwoodhealth.com,Marketing,75,Pro,2026-03-21 22:26:51
ACC-1149,Velocity Systems,velocitysystems.com,Logistics,75,Pro,2025-03-31 20:01:04
ACC-1150,Skyline Solutions,skylinesolutions.com,Manufacturing,500,Starter,2024-09-24 11:15:07
ACC-1151,SilverLine Solutions,silverlinesolutions.com,Manufacturing,75,Free,2024-05-09 18:33:42
ACC-1152,Summit Analytics,summitanalytics.com,SaaS,75,Pro,2026-03-25 10:14:37
ACC-1153,BlueRiver Data,blueriverdata.com,Healthcare,15,Enterprise,2025-11-12 13:45:13
ACC-1154,Velocity Partners,velocitypartners.com,Cybersecurity,120,Growth,2024-08-03 09:12:54
ACC-1155,PrimeWave Data,primewavedata.com,Manufacturing,10,Starter,2024-07-01 20:56:44
ACC-1156,Redwood Health,redwoodhealth.com,Cybersecurity,120,Enterprise,2025-08-16 22:46:07
ACC-1157,Vertex Analytics,vertexanalytics.com,SaaS,10,Growth,2024-08-09 07:12:37
ACC-1158,Greenfield Digital,greenfielddigital.com,Cybersecurity,250,Pro,2025-02-04 21:44:02
ACC-1159,Summit Cloud,summitcloud.com,Fintech,500,Pro,2025-09-13 10:12:25
ACC-1160,CedarPoint Partners,cedarpointpartners.com,Marketing,40,Enterprise,2025-04-02 02:50:16
ACC-1161,BrightPath Data,brightpathdata.com,Logistics,10,Growth,2025-06-19 15:09:26
ACC-1162,ClearBridge Analytics,clearbridgeanalytics.com,Marketing,15,Pro,2026-02-10 10:03:44
ACC-1163,NorthPeak Labs,northpeaklabs.com,Logistics,40,Enterprise,2025-12-24 20:29:32
ACC-1164,Everstone Works,everstoneworks.com,E-commerce,10,Starter,2025-12-26 06:57:47
ACC-1165,Summit Works,summitworks.com,Education,25,Starter,2025-06-16 07:55:26
ACC-1166,NorthPeak Data,northpeakdata.com,Retail,120,Free,2025-12-27 07:57:34
ACC-1167,Apex Analytics,apexanalytics.com,Fintech,500,Growth,2025-11-22 21:47:10
ACC-1168,CedarPoint Analytics,cedarpointanalytics.com,Cybersecurity,40,Enterprise,2025-04-08 19:34:11
ACC-1169,Skyline Health,skylinehealth.com,Marketing,250,Growth,2024-06-08 23:26:44
ACC-1170,BrightPath Technologies,brightpathtechnologies.com,Marketing,15,Enterprise,2025-10-28 01:42:03
ACC-1171,Greenfield Solutions,greenfieldsolutions.com,Cybersecurity,250,Free,2025-04-10 03:26:47
ACC-1172,BrightPath Ops,brightpathops.com,Logistics,75,Growth,2025-03-20 05:02:08
ACC-1173,CedarPoint Works,cedarpointworks.com,SaaS,1000,Pro,2025-06-28 21:04:49
ACC-1174,CedarPoint Data,cedarpointdata.com,Education,40,Enterprise,2024-07-20 23:11:43
ACC-1175,Velocity Dynamics,velocitydynamics.com,Education,120,Growth,2025-10-20 12:49:57
ACC-1176,Velocity Works,velocityworks.com,Manufacturing,15,Starter,2025-07-06 14:34:06
ACC-1177,Velocity Data,velocitydata.com,Logistics,15,Enterprise,2024-12-20 18:55:10
ACC-1178,Summit Logic,summitlogic.com,E-commerce,10,Pro,2025-11-29 17:16:55
ACC-1179,NorthPeak Partners,northpeakpartners.com,Retail,25,Pro,2024-12-12 20:26:31
ACC-1180,Redwood Cloud,redwoodcloud.com,Healthcare,250,Growth,2024-09-06 04:45:59
ACC-1181,Nova Data,novadata.com,Manufacturing,10,Growth,2024-06-17 17:09:45
ACC-1182,Skyline Systems,skylinesystems.com,Logistics,250,Pro,2026-02-21 08:28:24
ACC-1183,Vertex Solutions,vertexsolutions.com,Manufacturing,10,Enterprise,2024-07-21 04:33:55
ACC-1184,CedarPoint Systems,cedarpointsystems.com,Fintech,40,Growth,2025-03-27 22:28:32
ACC-1185,Everstone Software,everstonesoftware.com,Healthcare,15,Growth,2025-01-06 10:25:37
ACC-1186,Summit Software,summitsoftware.com,Healthcare,75,Starter,2024-07-11 13:59:36
ACC-1187,Velocity Technologies,velocitytechnologies.com,E-commerce,500,Pro,2025-04-18 02:17:24
ACC-1188,Summit Digital,summitdigital.com,Marketing,500,Pro,2024-06-14 18:31:34
ACC-1189,Skyline Labs,skylinelabs.com,Logistics,75,Free,2024-06-05 22:05:07
ACC-1190,Everstone Technologies,everstonetechnologies.com,Healthcare,10,Growth,2025-05-17 03:44:31
ACC-1191,Everstone Systems,everstonesystems.com,Healthcare,10,Starter,2025-05-19 15:03:11
ACC-1192,Apex Logic,apexlogic.com,Logistics,75,Growth,2025-01-30 09:07:39
ACC-1193,Everstone Labs,everstonelabs.com,Logistics,15,Growth,2025-12-26 17:50:03
ACC-1194,PrimeWave Networks,primewavenetworks.com,Education,25,Growth,2024-11-29 10:27:41
ACC-1195,Summit Data,summitdata.com,Manufacturing,25,Pro,2024-12-19 16:43:00
ACC-1196,CloudForge Solutions,cloudforgesolutions.com,Manufacturing,120,Enterprise,2025-06-30 20:38:26
ACC-1197,Apex Systems,apexsystems.com,Manufacturing,1000,Growth,2025-09-06 12:21:12
ACC-1198,BrightPath Labs,brightpathlabs.com,Logistics,25,Pro,2025-09-18 20:50:00
ACC-1199,SilverLine Technologies,silverlinetechnologies.com,Retail,120,Pro,2026-03-25 20:52:51
